city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Georgetown,Georgetown,6.7833,-58.1667,Guyana,GY,GUY,Demerara-Mahaica,primary,200500,1328160906
Cayenne,Cayenne,4.9330,-52.3300,French Guiana,GF,GUF,,primary,61550,1254304969
Stanley,Stanley,-51.7000,-57.8500,Falkland Islands (Islas Malvinas),FK,FLK,,primary,2213,1238780509
King Edward Point,King Edward Point,-54.2833,-36.5000,South Georgia And South Sandwich Islands,GS,SGS,,primary,,1239048838
Natal,Natal,-6.9838,-60.2699,Brazil,BR,BRA,Amazonas,,980588,1076336975
Trujillo,Trujillo,-8.1119,-79.0289,Peru,PE,PER,La Libertad,admin,919899,1604613706
Campo Grande,Campo Grande,-20.4686,-54.6222,Brazil,BR,BRA,Mato Grosso do Sul,admin,906092,1076660445
Natal,Natal,-5.7950,-35.2089,Brazil,BR,BRA,Rio Grande do Norte,admin,877662,1076697777
Teresina,Teresina,-5.0949,-42.8042,Brazil,BR,BRA,Piauí,admin,847430,1076727667
Iguaçu,Iguacu,-22.7400,-43.4700,Brazil,BR,BRA,Rio de Janeiro,,844583,1076339714
São Bernardo do Campo,Sao Bernardo do Campo,-23.6939,-46.5650,Brazil,BR,BRA,São Paulo,,816925,1076793227
João Pessoa,Joao Pessoa,-7.1200,-34.8800,Brazil,BR,BRA,Paraíba,admin,801718,1076922014
Abaeté,Abaete,-19.1583,-45.4522,Brazil,BR,BRA,Minas Gerais,,800000,1076413528
Palermo,Palermo,2.8883,-75.4339,Colombia,CO,COL,Huila,minor,800000,1170614290
Ciudad Guayana,Ciudad Guayana,8.3596,-62.6517,Venezuela,VE,VEN,Bolívar,minor,751331,1862889027
Cúcuta,Cucuta,7.9075,-72.5047,Colombia,CO,COL,Norte de Santander,admin,750000,1170743755
Comodoro Rivadavia,Comodoro Rivadavia,-45.8667,-67.5000,Argentina,AR,ARG,Chubut,minor,730266,1032042035
Soledad,Soledad,10.9200,-74.7700,Colombia,CO,COL,Atlántico,minor,698852,1170765625
Jaboatão,Jaboatao,-8.1803,-35.0014,Brazil,BR,BRA,Pernambuco,,702621,1076000699
Santo André,Santo Andre,-23.6572,-46.5333,Brazil,BR,BRA,São Paulo,,710210,1076625886
Osasco,Osasco,-23.5328,-46.7919,Brazil,BR,BRA,São Paulo,,694844,1076786452
São José dos Campos,Sao Jose dos Campos,-23.1789,-45.8869,Brazil,BR,BRA,São Paulo,,688597,1076783887
Ribeirão Prêto,Ribeirao Preto,-21.1783,-47.8067,Brazil,BR,BRA,São Paulo,,666323,1076524478
Catia La Mar,Catia La Mar,10.6038,-67.0303,Venezuela,VE,VEN,Vargas,minor,661897,1862657837
